DATE,A027RC1Q027SBEA
1947-01-01,216.071
1947-04-01,218.357
1947-07-01,221.201
1947-10-01,230.791
1948-01-01,236.518
1948-04-01,242.96
1948-07-01,249.03
1948-10-01,249.878
1949-01-01,244.171
1949-04-01,240.424
1949-07-01,241.908
1949-10-01,239.377
1950-01-01,249.651
1950-04-01,258.93
1950-07-01,276.189
1950-10-01,286.731
1951-01-01,301.283
1951-04-01,308.636
1951-07-01,315.114
1951-10-01,319.285
1952-01-01,322.291
1952-04-01,322.873
1952-07-01,328.68
1952-10-01,341.042
1953-01-01,347.392
1953-04-01,350.535
1953-07-01,349.163
1953-10-01,343.417
1954-01-01,342.406
1954-04-01,342.428
1954-07-01,346.734
1954-10-01,355.086
1955-01-01,368.036
1955-04-01,375.752
1955-07-01,383.353
1955-10-01,389.016
1956-01-01,390.454
1956-04-01,395.343
1956-07-01,399.305
1956-10-01,406.991
1957-01-01,415.551
1957-04-01,416.973
1957-07-01,423.236
1957-10-01,416.95
1958-01-01,409.078
1958-04-01,412.67
1958-07-01,425.502
1958-10-01,438.358
1959-01-01,448.449
1959-04-01,460.131
1959-07-01,462.075
1959-10-01,465.234
1960-01-01,478.591
1960-04-01,476.496
1960-07-01,480.564
1960-10-01,474.728
1961-01-01,479.098
1961-04-01,488.76
1961-07-01,500.205
1961-10-01,512.432
1962-01-01,524.912
1962-04-01,530.829
1962-07-01,538.529
1962-10-01,541.402
1963-01-01,549.661
1963-04-01,556.563
1963-07-01,570.379
1963-10-01,579.04
1964-01-01,594.263
1964-04-01,601.794
1964-07-01,614.134
1964-10-01,617.778
1965-01-01,637.61
1965-04-01,648.685
1965-07-01,665.803
1965-10-01,686.153
1966-01-01,708.422
1966-04-01,715.695
1966-07-01,728.317
1966-10-01,740.265
1967-01-01,749.123
1967-04-01,751.713
1967-07-01,766.303
1967-10-01,780.039
1968-01-01,805.708
1968-04-01,828.398
1968-07-01,842.544
1968-10-01,856.851
1969-01-01,879.206
1969-04-01,891.675
1969-07-01,909.579
1969-10-01,914.875
1970-01-01,925.249
1970-04-01,938.74
1970-07-01,954.316
1970-10-01,953.161
1971-01-01,997.924
1971-04-01,1016.649
1971-07-01,1034.575
1971-10-01,1044.926
1972-01-01,1082.842
1972-04-01,1115.533
1972-07-01,1136.78
1972-10-01,1171.493
1973-01-01,1217.67
1973-04-01,1250.119
1973-07-01,1266.474
1973-10-01,1302.983
1974-01-01,1313.967
1974-04-01,1344.328
1974-07-01,1364.122
1974-10-01,1393.061
1975-01-01,1398.768
1975-04-01,1427.731
1975-07-01,1480.686
1975-10-01,1530.407
1976-01-01,1584.306
1976-04-01,1612.278
1976-07-01,1640.985
1976-10-01,1682.562
1977-01-01,1731.876
1977-04-01,1790.998
1977-07-01,1845.603
1977-10-01,1880.674
1978-01-01,1913.255
1978-04-01,2028.383
1978-07-01,2083.964
1978-10-01,2158.338
1979-01-01,2197.511
1979-04-01,2253.473
1979-07-01,2323.351
1979-10-01,2367.172
1980-01-01,2421.082
1980-04-01,2412.195
1980-07-01,2455.534
1980-10-01,2563.446
1981-01-01,2690.067
1981-04-01,2712.113
1981-07-01,2798.786
1981-10-01,2810.022
1982-01-01,2788.367
1982-04-01,2839.022
1982-07-01,2858.6
1982-10-01,2887.353
1983-01-01,2955.156
1983-04-01,3056.508
1983-07-01,3160.877
