DATE,CCLACBW027SBOG
2000-06-28,211.4984
2000-07-05,212.0107
2000-07-12,210.8742
2000-07-19,212.5366
2000-07-26,211.7884
2000-08-02,212.4523
2000-08-09,214.5785
2000-08-16,218.6162
2000-08-23,220.4693
2000-08-30,218.8637
2000-09-06,219.8767
2000-09-13,219.3752
2000-09-20,225.9866
2000-09-27,224.8214
2000-10-04,220.4073
2000-10-11,219.1825
2000-10-18,222.0149
2000-10-25,221.2715
2000-11-01,219.9173
2000-11-08,217.388
2000-11-15,222.5697
2000-11-22,224.2318
2000-11-29,225.726
2000-12-06,223.3563
2000-12-13,223.7738
2000-12-20,229.2851
2000-12-27,232.8402
2001-01-03,232.7279
2001-01-10,229.0415
2001-01-17,231.8594
2001-01-24,232.0405
2001-01-31,230.0938
2001-02-07,228.0436
2001-02-14,230.7374
2001-02-21,231.5985
2001-02-28,227.9793
2001-03-07,226.8917
2001-03-14,227.1311
2001-03-21,228.2505
2001-03-28,230.2001
2001-04-04,228.8215
2001-04-11,229.9473
2001-04-18,232.9625
2001-04-25,233.9619
2001-05-02,234.753
2001-05-09,232.9634
2001-05-16,236.7236
2001-05-23,237.5591
2001-05-30,235.6933
2001-06-06,234.0001
2001-06-13,232.1929
2001-06-20,233.0702
2001-06-27,234.8777
2001-07-04,230.6651
2001-07-11,230.1002
2001-07-18,232.146
2001-07-25,234.0339
2001-08-01,231.7553
2001-08-08,231.1103
2001-08-15,233.7302
2001-08-22,236.2311
2001-08-29,234.1316
2001-09-05,233.5524
2001-09-12,232.012
2001-09-19,235.8968
2001-09-26,231.6603
2001-10-03,230.2384
2001-10-10,228.5984
2001-10-17,235.2658
2001-10-24,236.0
2001-10-31,235.4887
2001-11-07,236.0918
2001-11-14,236.2624
2001-11-21,241.2928
2001-11-28,243.1109
2001-12-05,239.3529
2001-12-12,240.2921
2001-12-19,241.5495
2001-12-26,245.4281
2002-01-02,241.9495
2002-01-09,241.1722
2002-01-16,241.477
2002-01-23,241.9612
2002-01-30,240.2713
2002-02-06,243.0366
2002-02-13,237.2906
2002-02-20,241.223
2002-02-27,241.5044
2002-03-06,240.1
2002-03-13,236.7364
2002-03-20,241.6241
2002-03-27,242.9351
2002-04-03,240.768
2002-04-10,241.5227
2002-04-17,248.7871
2002-04-24,249.5741
2002-05-01,245.6769
2002-05-08,245.2482
2002-05-15,246.287
2002-05-22,243.3055
2002-05-29,246.031
2002-06-05,240.5876
2002-06-12,241.2721
2002-06-19,248.0359
2002-06-26,245.8811
2002-07-03,237.1396
2002-07-10,236.2744
2002-07-17,240.1645
2002-07-24,242.0012
2002-07-31,242.7758
2002-08-07,243.9729
2002-08-14,246.9809
2002-08-21,251.6195
2002-08-28,254.4013
2002-09-04,254.5549
2002-09-11,253.6835
2002-09-18,257.5473
2002-09-25,256.2456
2002-10-02,254.7321
2002-10-09,252.5021
2002-10-16,257.7782
2002-10-23,257.3392
2002-10-30,256.1332
2002-11-06,251.3729
2002-11-13,250.9501
2002-11-20,252.4677
2002-11-27,253.4734
2002-12-04,252.079
2002-12-11,254.0993
2002-12-18,257.0101
2002-12-25,256.166
2003-01-01,253.8986
2003-01-08,252.0711
2003-01-15,251.7124
2003-01-22,252.6169
2003-01-29,249.812
2003-02-05,244.8007
2003-02-12,244.6155
2003-02-19,249.3865
2003-02-26,249.2856
2003-03-05,246.0273
2003-03-12,241.5862
2003-03-19,246.4663
2003-03-26,243.6805
2003-04-02,240.8485
2003-04-09,239.3722
2003-04-16,239.4764
2003-04-23,240.179
2003-04-30,240.3492
2003-05-07,245.6497
2003-05-14,247.8201
2003-05-21,248.8831
2003-05-28,252.5346
2003-06-04,244.5146
2003-06-11,244.4164
2003-06-18,247.8045
2003-06-25,244.228
2003-07-02,244.6136
2003-07-09,243.1955
2003-07-16,245.7002
2003-07-23,246.774
2003-07-30,248.7566
2003-08-06,243.7636
2003-08-13,244.3928
2003-08-20,247.4755
2003-08-27,246.6943
2003-09-03,244.7361
2003-09-10,243.7471
2003-09-17,246.1977
2003-09-24,244.4993
2003-10-01,240.659
2003-10-08,238.6415
2003-10-15,240.8865
2003-10-22,239.627
2003-10-29,240.0892
2003-11-05,267.2622
2003-11-12,269.6984
2003-11-19,274.6505
2003-11-26,272.6118
2003-12-03,270.5216
2003-12-10,271.4766
2003-12-17,283.8196
2003-12-24,287.1417
2003-12-31,285.3983
2004-01-07,283.8708
2004-01-14,282.6576
2004-01-21,284.9248
2004-01-28,283.5418
2004-02-04,279.6957
2004-02-11,278.6002
2004-02-18,285.6053
2004-02-25,283.8476
2004-03-03,278.0823
2004-03-10,277.3235
2004-03-17,279.6129
2004-03-24,282.6957
2004-03-31,278.983
2004-04-07,279.6248
2004-04-14,281.1217
2004-04-21,281.0938
2004-04-28,282.7442
2004-05-05,281.1908
2004-05-12,280.7192
2004-05-19,287.8009
2004-05-26,287.8785
2004-06-02,287.0796
2004-06-09,287.0727
2004-06-16,287.8864
2004-06-23,289.7774
2004-06-30,285.4087
2004-07-07,286.3784
2004-07-14,286.9834
2004-07-21,289.6085
2004-07-28,289.3174
2004-08-04,287.4849
2004-08-11,286.6229
2004-08-18,291.5604
2004-08-25,294.0922
2004-09-01,292.3796
2004-09-08,291.857
2004-09-15,295.7072
2004-09-22,296.6903
2004-09-29,293.2562
2004-10-06,291.5724
2004-10-13,288.5794
2004-10-20,292.7875
2004-10-27,291.8876
2004-11-03,290.9649
2004-11-10,286.7417
2004-11-17,287.4048
2004-11-24,287.4167
2004-12-01,286.7666
2004-12-08,287.4926
2004-12-15,291.0106
2004-12-22,296.97
2004-12-29,308.8843
2005-01-05,308.9762
2005-01-12,305.458
2005-01-19,304.116
2005-01-26,302.7755
2005-02-02,298.0889
2005-02-09,294.2789
2005-02-16,301.2353
2005-02-23,301.2163
2005-03-02,300.9581
2005-03-09,298.2558
2005-03-16,300.1122
2005-03-23,299.8566
2005-03-30,300.375
2005-04-06,299.7678
2005-04-13,298.4392
2005-04-20,303.2903
2005-04-27,304.1784
2005-05-04,299.6039
2005-05-11,297.2704
2005-05-18,300.8959
2005-05-25,299.8188
2005-06-01,298.4263
2005-06-08,298.982
2005-06-15,302.1467
2005-06-22,304.4726
2005-06-29,301.8943
2005-07-06,300.7455
2005-07-13,300.5968
2005-07-20,304.3996
2005-07-27,304.8062
2005-08-03,301.8801
2005-08-10,301.368
2005-08-17,302.8262
2005-08-24,303.0865
2005-08-31,300.9205
2005-09-07,300.9719
2005-09-14,305.4862
2005-09-21,306.3253
2005-09-28,306.0158
2005-10-05,294.8802
2005-10-12,293.3954
2005-10-19,295.5172
2005-10-26,298.0247
2005-11-02,299.553
2005-11-09,297.6058
2005-11-16,301.8276
2005-11-23,301.8316
2005-11-30,299.1933
2005-12-07,298.0087
2005-12-14,304.3726
2005-12-21,303.8028
2005-12-28,305.6571
2006-01-04,303.3853
2006-01-11,300.7263
2006-01-18,304.8459
2006-01-25,304.0763
2006-02-01,297.8442
2006-02-08,296.4913
2006-02-15,298.0097
2006-02-22,296.6491
2006-03-01,293.1205
2006-03-08,291.1758
2006-03-15,290.8951
2006-03-22,293.6612
2006-03-29,293.0953
2006-04-05,289.9346
2006-04-12,293.4749
2006-04-19,295.8963
2006-04-26,298.3836
2006-05-03,297.0146
2006-05-10,298.0522
2006-05-17,303.7919
2006-05-24,304.6193
2006-05-31,301.9632
2006-06-07,298.5835
2006-06-14,301.852
2006-06-21,296.5293
2006-06-28,296.7725
2006-07-05,297.7787
2006-07-12,296.0613
2006-07-19,303.0579
2006-07-26,302.4431
2006-08-02,299.9575
2006-08-09,300.6598
2006-08-16,304.1283
2006-08-23,306.6316
2006-08-30,304.4203
2006-09-06,304.634
2006-09-13,303.5127
2006-09-20,304.7668
2006-09-27,303.5486
2006-10-04,301.0006
2006-10-11,300.773
2006-10-18,300.6396
2006-10-25,300.1127
2006-11-01,300.4143
2006-11-08,300.7007
2006-11-15,302.7944
2006-11-22,304.3014
2006-11-29,305.6106
2006-12-06,307.8704
2006-12-13,311.6722
2006-12-20,312.9721
2006-12-27,315.7695
2007-01-03,315.1205
2007-01-10,314.6002
2007-01-17,316.9077
2007-01-24,317.8572
2007-01-31,312.0677
2007-02-07,311.4122
2007-02-14,315.0605
2007-02-21,311.8296
2007-02-28,302.8163
2007-03-07,303.0381
2007-03-14,301.9119
2007-03-21,303.8718
2007-03-28,302.4471
2007-04-04,304.529
2007-04-11,305.8712
2007-04-18,308.9575
2007-04-25,310.2466
2007-05-02,308.9453
2007-05-09,308.6053
2007-05-16,310.8044
