DATE,HOANBS
1947-01-01,45.842
1947-04-01,45.853
1947-07-01,45.979
1947-10-01,46.424
1948-01-01,46.719
1948-04-01,46.700
1948-07-01,47.029
1948-10-01,46.596
1949-01-01,45.812
1949-04-01,45.058
1949-07-01,44.573
1949-10-01,44.382
1950-01-01,44.730
1950-04-01,45.836
1950-07-01,47.278
1950-10-01,47.715
1951-01-01,48.517
1951-04-01,48.906
1951-07-01,48.437
1951-10-01,48.461
1952-01-01,48.774
1952-04-01,48.569
1952-07-01,48.920
1952-10-01,50.218
1953-01-01,50.734
1953-04-01,50.827
1953-07-01,50.328
1953-10-01,49.542
1954-01-01,48.876
1954-04-01,48.510
1954-07-01,48.322
1954-10-01,48.921
1955-01-01,49.705
1955-04-01,50.358
1955-07-01,50.886
1955-10-01,51.497
1956-01-01,51.812
1956-04-01,51.923
1956-07-01,51.713
1956-10-01,52.000
1957-01-01,52.050
1957-04-01,51.939
1957-07-01,51.688
1957-10-01,50.622
1958-01-01,49.489
1958-04-01,48.762
1958-07-01,49.347
1958-10-01,50.084
1959-01-01,51.054
1959-04-01,52.020
1959-07-01,51.867
1959-10-01,51.882
1960-01-01,52.208
1960-04-01,52.295
1960-07-01,52.003
1960-10-01,51.528
1961-01-01,51.231
1961-04-01,51.113
1961-07-01,51.415
1961-10-01,52.066
1962-01-01,52.259
1962-04-01,52.880
1962-07-01,52.772
1962-10-01,52.448
1963-01-01,52.764
1963-04-01,53.101
1963-07-01,53.245
1963-10-01,53.661
1964-01-01,54.772
1964-04-01,55.013
1964-07-01,55.367
1964-10-01,55.906
1965-01-01,56.771
1965-04-01,57.334
1965-07-01,57.476
1965-10-01,58.023
1966-01-01,58.854
1966-04-01,59.429
1966-07-01,59.708
1966-10-01,59.560
1967-01-01,59.495
1967-04-01,59.138
1967-07-01,59.336
1967-10-01,59.606
1968-01-01,59.713
1968-04-01,60.284
1968-07-01,60.710
1968-10-01,61.087
1969-01-01,61.659
1969-04-01,62.230
1969-07-01,62.536
1969-10-01,62.359
1970-01-01,62.115
1970-04-01,61.308
1970-07-01,61.008
1970-10-01,60.545
1971-01-01,60.825
1971-04-01,61.026
1971-07-01,61.029
1971-10-01,61.682
1972-01-01,62.378
1972-04-01,62.831
1972-07-01,63.188
1972-10-01,63.853
1973-01-01,64.809
1973-04-01,65.486
1973-07-01,65.928
1973-10-01,66.259
1974-01-01,65.985
1974-04-01,66.164
1974-07-01,65.940
1974-10-01,64.863
1975-01-01,62.854
1975-04-01,62.280
1975-07-01,62.846
1975-10-01,63.917
1976-01-01,64.968
1976-04-01,65.004
1976-07-01,65.264
1976-10-01,65.614
1977-01-01,66.307
1977-04-01,67.564
1977-07-01,68.290
1977-10-01,68.964
1978-01-01,69.284
1978-04-01,71.301
1978-07-01,71.905
1978-10-01,72.775
1979-01-01,73.299
1979-04-01,73.532
1979-07-01,74.203
1979-10-01,74.373
1980-01-01,74.194
1980-04-01,72.854
1980-07-01,72.522
1980-10-01,73.497
1981-01-01,73.921
1981-04-01,73.978
1981-07-01,73.936
1981-10-01,73.613
1982-01-01,72.375
1982-04-01,72.708
1982-07-01,72.190
1982-10-01,71.517
1983-01-01,71.952
1983-04-01,72.790
1983-07-01,74.245
1983-10-01,75.639
1984-01-01,77.086
1984-04-01,78.090
1984-07-01,78.429
1984-10-01,78.940
1985-01-01,79.571
1985-04-01,80.114
1985-07-01,80.339
1985-10-01,80.742
1986-01-01,80.626
1986-04-01,80.407
1986-07-01,80.814
1986-10-01,81.422
1987-01-01,82.436
1987-04-01,82.909
1987-07-01,83.486
1987-10-01,84.348
1988-01-01,84.426
1988-04-01,85.613
1988-07-01,85.843
1988-10-01,86.808
1989-01-01,87.677
1989-04-01,88.016
1989-07-01,88.218
1989-10-01,88.222
1990-01-01,88.480
1990-04-01,88.096
1990-07-01,87.646
1990-10-01,87.271
1991-01-01,86.416
1991-04-01,85.874
1991-07-01,85.774
1991-10-01,85.629
1992-01-01,85.125
1992-04-01,85.455
1992-07-01,85.600
1992-10-01,86.151
1993-01-01,86.915
1993-04-01,87.897
1993-07-01,88.423
1993-10-01,89.264
1994-01-01,89.823
1994-04-01,91.280
1994-07-01,92.351
1994-10-01,92.742
1995-01-01,93.185
1995-04-01,93.051
1995-07-01,94.120
1995-10-01,94.361
1996-01-01,94.546
1996-04-01,95.431
1996-07-01,96.229
1996-10-01,97.324
1997-01-01,98.151
1997-04-01,98.626
1997-07-01,99.212
1997-10-01,99.684
1998-01-01,100.311
1998-04-01,100.826
1998-07-01,100.966
1998-10-01,102.209
1999-01-01,102.067
1999-04-01,102.629
1999-07-01,103.288
1999-10-01,103.726
2000-01-01,104.198
2000-04-01,104.497
2000-07-01,104.459
2000-10-01,104.104
2001-01-01,104.044
2001-04-01,103.051
2001-07-01,101.773
2001-10-01,100.639
2002-01-01,99.788
2002-04-01,100.048
2002-07-01,99.682
2002-10-01,99.806
2003-01-01,99.286
2003-04-01,98.998
2003-07-01,99.139
2003-10-01,99.617
2004-01-01,100.042
2004-04-01,100.129
2004-07-01,100.758
2004-10-01,101.291
2005-01-01,101.497
2005-04-01,102.090
2005-07-01,102.414
2005-10-01,103.030
2006-01-01,104.043
2006-04-01,104.367
2006-07-01,104.802
2006-10-01,105.245
2007-01-01,105.396
2007-04-01,105.925
2007-07-01,105.520
2007-10-01,105.152
2008-01-01,104.819
2008-04-01,104.251
2008-07-01,103.058
2008-10-01,100.199
2009-01-01,97.660
2009-04-01,95.376
2009-07-01,94.326
2009-10-01,94.213
2010-01-01,94.490
2010-04-01,95.288
2010-07-01,95.668
2010-10-01,96.143
2011-01-01,96.319
2011-04-01,97.344
2011-07-01,97.648
2011-10-01,98.490
2012-01-01,99.318
2012-04-01,99.490
2012-07-01,100.009
2012-10-01,100.586
2013-01-01,101.020
2013-04-01,101.435
2013-07-01,101.964
2013-10-01,102.239
2014-01-01,102.753
2014-04-01,103.568
2014-07-01,104.337
2014-10-01,105.505
2015-01-01,105.802
2015-04-01,106.209
2015-07-01,106.224
2015-10-01,106.909
2016-01-01,107.324
2016-04-01,107.648
2016-07-01,107.918
2016-10-01,108.014
2017-01-01,108.406
2017-04-01,109.170
2017-07-01,109.279
2017-10-01,110.147
2018-01-01,110.676
2018-04-01,111.186
2018-07-01,111.739
2018-10-01,112.027
2019-01-01,111.992
2019-04-01,112.161
2019-07-01,112.698
2019-10-01,112.463
2020-01-01,110.910
2020-04-01,95.565
2020-07-01,103.432
2020-10-01,105.817
2021-01-01,107.186
2021-04-01,108.768
2021-07-01,110.177
2021-10-01,111.386
2022-01-01,112.383
2022-04-01,113.200
2022-07-01,113.832
2022-10-01,113.963
