DATE,NFCI
1971-01-08,0.56195
1971-01-15,0.61107
1971-01-22,0.67084
1971-01-29,0.73553
1971-02-05,0.80069
1971-02-12,0.85985
1971-02-19,0.90872
1971-02-26,0.94582
1971-03-05,0.97317
1971-03-12,0.99439
1971-03-19,1.01544
1971-03-26,1.04354
1971-04-02,1.08383
1971-04-09,1.13967
1971-04-16,1.20916
1971-04-23,1.28742
1971-04-30,1.36420
1971-05-07,1.42822
1971-05-14,1.46466
1971-05-21,1.46394
1971-05-28,1.42214
1971-06-04,1.34164
1971-06-11,1.22911
1971-06-18,1.10397
1971-06-25,0.98757
1971-07-02,0.90205
1971-07-09,0.86821
1971-07-16,0.90006
1971-07-23,1.00280
1971-07-30,1.17004
1971-08-06,1.38538
1971-08-13,1.62344
1971-08-20,1.85667
1971-08-27,2.05362
1971-09-03,2.19529
1971-09-10,2.26509
1971-09-17,2.26320
1971-09-24,2.19570
1971-10-01,2.07849
1971-10-08,1.93011
1971-10-15,1.77411
1971-10-22,1.63050
1971-10-29,1.51410
1971-11-05,1.43392
1971-11-12,1.38986
1971-11-19,1.37737
1971-11-26,1.38418
1971-12-03,1.39839
1971-12-10,1.40718
1971-12-17,1.39943
1971-12-24,1.36751
1971-12-31,1.31144
1972-01-07,1.22458
1972-01-14,1.12103
1972-01-21,1.00600
1972-01-28,0.88876
1972-02-04,0.77908
1972-02-11,0.68258
1972-02-18,0.60227
1972-02-25,0.53901
1972-03-03,0.49156
1972-03-10,0.45697
1972-03-17,0.43015
1972-03-24,0.40571
1972-03-31,0.37862
1972-04-07,0.34407
1972-04-14,0.30251
1972-04-21,0.25351
1972-04-28,0.20065
1972-05-05,0.14820
1972-05-12,0.10140
1972-05-19,0.06578
1972-05-26,0.04669
1972-06-02,0.04679
1972-06-09,0.06696
1972-06-16,0.10430
1972-06-23,0.15390
1972-06-30,0.20804
1972-07-07,0.25769
1972-07-14,0.29565
1972-07-21,0.31536
1972-07-28,0.31187
1972-08-04,0.28462
1972-08-11,0.23582
1972-08-18,0.17070
1972-08-25,0.09588
1972-09-01,0.01955
1972-09-08,-0.04994
1972-09-15,-0.10716
1972-09-22,-0.14877
1972-09-29,-0.17417
1972-10-06,-0.18604
1972-10-13,-0.18925
1972-10-20,-0.18824
1972-10-27,-0.18845
1972-11-03,-0.19376
1972-11-10,-0.20617
1972-11-17,-0.22608
1972-11-24,-0.25179
1972-12-01,-0.27853
1972-12-08,-0.30080
1972-12-15,-0.31243
1972-12-22,-0.30553
1972-12-29,-0.27352
1973-01-05,-0.21213
1973-01-12,-0.11891
1973-01-19,0.00449
1973-01-26,0.15331
1973-02-02,0.31987
1973-02-09,0.49324
1973-02-16,0.66101
1973-02-23,0.81282
1973-03-02,0.93922
1973-03-09,1.03496
1973-03-16,1.09801
1973-03-23,1.13267
1973-03-30,1.14406
1973-04-06,1.13729
1973-04-13,1.12038
1973-04-20,1.09866
1973-04-27,1.07656
1973-05-04,1.05580
1973-05-11,1.03846
1973-05-18,1.02440
1973-05-25,1.01483
1973-06-01,1.01178
1973-06-08,1.01820
1973-06-15,1.03690
1973-06-22,1.07112
1973-06-29,1.12365
1973-07-06,1.19477
1973-07-13,1.28533
1973-07-20,1.39163
1973-07-27,1.51090
1973-08-03,1.63659
1973-08-10,1.76336
1973-08-17,1.88486
1973-08-24,1.99591
1973-08-31,2.08944
1973-09-07,2.15931
1973-09-14,2.20222
1973-09-21,2.21737
1973-09-28,2.20596
1973-10-05,2.17022
1973-10-12,2.12002
1973-10-19,2.06261
1973-10-26,2.00894
1973-11-02,1.96594
1973-11-09,1.93847
1973-11-16,1.92619
1973-11-23,1.92201
1973-11-30,1.91461
1973-12-07,1.89035
1973-12-14,1.83830
1973-12-21,1.75005
1973-12-28,1.62292
1974-01-04,1.45765
1974-01-11,1.26664
1974-01-18,1.06158
1974-01-25,0.85712
1974-02-01,0.66896
1974-02-08,0.51042
1974-02-15,0.39202
1974-02-22,0.32139
1974-03-01,0.30205
1974-03-08,0.33526
1974-03-15,0.41954
1974-03-22,0.55114
1974-03-29,0.72483
1974-04-05,0.93507
1974-04-12,1.17866
1974-04-19,1.44973
1974-04-26,1.74526
1974-05-03,2.06114
1974-05-10,2.39543
1974-05-17,2.74418
1974-05-24,3.09915
1974-05-31,3.45388
1974-06-07,3.79832
1974-06-14,4.11964
1974-06-21,4.40586
1974-06-28,4.64306
1974-07-05,4.81891
1974-07-12,4.92732
1974-07-19,4.96808
1974-07-26,4.94908
1974-08-02,4.88300
1974-08-09,4.78194
1974-08-16,4.66345
1974-08-23,4.53649
1974-08-30,4.40958
1974-09-06,4.28288
1974-09-13,4.15425
1974-09-20,4.02031
1974-09-27,3.87218
1974-10-04,3.70677
1974-10-11,3.52305
1974-10-18,3.33033
1974-10-25,3.13874
1974-11-01,2.95936
1974-11-08,2.80310
1974-11-15,2.67613
1974-11-22,2.57634
1974-11-29,2.50082
1974-12-06,2.43887
1974-12-13,2.37829
1974-12-20,2.30911
1974-12-27,2.21957
1975-01-03,2.10514
1975-01-10,1.96375
1975-01-17,1.80137
1975-01-24,1.62559
1975-01-31,1.44550
1975-02-07,1.26945
1975-02-14,1.10635
1975-02-21,0.95859
1975-02-28,0.82784
1975-03-07,0.71307
1975-03-14,0.61157
1975-03-21,0.51992
1975-03-28,0.43337
1975-04-04,0.34795
1975-04-11,0.26111
1975-04-18,0.17272
1975-04-25,0.08240
1975-05-02,-0.00663
1975-05-09,-0.09230
1975-05-16,-0.17121
1975-05-23,-0.24217
1975-05-30,-0.30163
1975-06-06,-0.34922
1975-06-13,-0.38524
1975-06-20,-0.41124
1975-06-27,-0.42859
1975-07-04,-0.43920
1975-07-11,-0.44516
1975-07-18,-0.44716
1975-07-25,-0.44482
1975-08-01,-0.43738
1975-08-08,-0.42353
1975-08-15,-0.40264
1975-08-22,-0.37433
1975-08-29,-0.33879
1975-09-05,-0.29772
1975-09-12,-0.25261
1975-09-19,-0.20570
1975-09-26,-0.16032
1975-10-03,-0.11814
1975-10-10,-0.08279
1975-10-17,-0.05519
1975-10-24,-0.03619
1975-10-31,-0.02660
1975-11-07,-0.02829
1975-11-14,-0.04203
1975-11-21,-0.06852
1975-11-28,-0.10836
1975-12-05,-0.16125
1975-12-12,-0.22550
1975-12-19,-0.29823
1975-12-26,-0.37662
1976-01-02,-0.45673
1976-01-09,-0.53415
1976-01-16,-0.60467
1976-01-23,-0.66563
1976-01-30,-0.71617
1976-02-06,-0.75613
1976-02-13,-0.78586
1976-02-20,-0.80823
1976-02-27,-0.82494
1976-03-05,-0.83780
1976-03-12,-0.84723
1976-03-19,-0.85357
1976-03-26,-0.85586
1976-04-02,-0.85247
1976-04-09,-0.84168
1976-04-16,-0.82239
1976-04-23,-0.79458
1976-04-30,-0.75985
1976-05-07,-0.72084
1976-05-14,-0.68135
1976-05-21,-0.64596
1976-05-28,-0.61842
1976-06-04,-0.60226
1976-06-11,-0.59920
1976-06-18,-0.60872
1976-06-25,-0.62965
1976-07-02,-0.65847
1976-07-09,-0.69164
1976-07-16,-0.72530
1976-07-23,-0.75622
1976-07-30,-0.78231
1976-08-06,-0.80253
1976-08-13,-0.81714
1976-08-20,-0.82709
1976-08-27,-0.83345
1976-09-03,-0.83766
1976-09-10,-0.84104
1976-09-17,-0.84383
1976-09-24,-0.84639
1976-10-01,-0.84749
1976-10-08,-0.84688
1976-10-15,-0.84328
1976-10-22,-0.83553
1976-10-29,-0.82353
1976-11-05,-0.80809
1976-11-12,-0.79010
1976-11-19,-0.77147
1976-11-26,-0.75526
1976-12-03,-0.74350
1976-12-10,-0.73927
1976-12-17,-0.74286
1976-12-24,-0.75528
1976-12-31,-0.77539
1977-01-07,-0.80177
1977-01-14,-0.83044
1977-01-21,-0.85881
1977-01-28,-0.88429
1977-02-04,-0.90433
1977-02-11,-0.91733
1977-02-18,-0.92295
1977-02-25,-0.92136
1977-03-04,-0.91289
1977-03-11,-0.89897
1977-03-18,-0.88016
1977-03-25,-0.85752
1977-04-01,-0.83129
1977-04-08,-0.80232
1977-04-15,-0.77018
1977-04-22,-0.73557
1977-04-29,-0.69924
1977-05-06,-0.66280
1977-05-13,-0.62759
1977-05-20,-0.59628
1977-05-27,-0.57010
1977-06-03,-0.55052
1977-06-10,-0.53815
1977-06-17,-0.53152
1977-06-24,-0.52969
1977-07-01,-0.53076
1977-07-08,-0.53275
1977-07-15,-0.53295
1977-07-22,-0.52965
1977-07-29,-0.52166
1977-08-05,-0.50860
1977-08-12,-0.49102
1977-08-19,-0.46970
1977-08-26,-0.44580
1977-09-02,-0.42000
1977-09-09,-0.39302
1977-09-16,-0.36481
1977-09-23,-0.33654
1977-09-30,-0.30808
1977-10-07,-0.28068
1977-10-14,-0.25440
1977-10-21,-0.22987
1977-10-28,-0.20790
1977-11-04,-0.18875
1977-11-11,-0.17344
1977-11-18,-0.16226
1977-11-25,-0.15560
1977-12-02,-0.15321
1977-12-09,-0.15509
1977-12-16,-0.16041
1977-12-23,-0.16877
1977-12-30,-0.17858
1978-01-06,-0.18909
1978-01-13,-0.19813
1978-01-20,-0.20420
1978-01-27,-0.20622
1978-02-03,-0.20304
1978-02-10,-0.19446
1978-02-17,-0.17934
1978-02-24,-0.15736
1978-03-03,-0.12851
1978-03-10,-0.09252
1978-03-17,-0.04962
1978-03-24,-0.00037
1978-03-31,0.05417
1978-04-07,0.11295
1978-04-14,0.17472
1978-04-21,0.23751
1978-04-28,0.29933
1978-05-05,0.35800
1978-05-12,0.41165
1978-05-19,0.45906
1978-05-26,0.49916
1978-06-02,0.53206
1978-06-09,0.55772
1978-06-16,0.57675
1978-06-23,0.58870
1978-06-30,0.59407
1978-07-07,0.59290
1978-07-14,0.58571
1978-07-21,0.57345
1978-07-28,0.55759
1978-08-04,0.53978
1978-08-11,0.52371
1978-08-18,0.51511
1978-08-25,0.51960
1978-09-01,0.54332
1978-09-08,0.59204
1978-09-15,0.66945
1978-09-22,0.77622
1978-09-29,0.91119
1978-10-06,1.06739
1978-10-13,1.23781
1978-10-20,1.41128
1978-10-27,1.57725
1978-11-03,1.72288
1978-11-10,1.84144
1978-11-17,1.92657
1978-11-24,1.97189
1978-12-01,1.98055
1978-12-08,1.95403
1978-12-15,1.89611
1978-12-22,1.81268
1978-12-29,1.70892
1979-01-05,1.58983
1979-01-12,1.46119
1979-01-19,1.32761
1979-01-26,1.19364
1979-02-02,1.06250
1979-02-09,0.93743
1979-02-16,0.82019
1979-02-23,0.71241
1979-03-02,0.61736
1979-03-09,0.53561
1979-03-16,0.46894
1979-03-23,0.41766
1979-03-30,0.38198
1979-04-06,0.36100
1979-04-13,0.35396
1979-04-20,0.35956
1979-04-27,0.37644
1979-05-04,0.40338
1979-05-11,0.43928
1979-05-18,0.48388
1979-05-25,0.53653
1979-06-01,0.59700
1979-06-08,0.66332
1979-06-15,0.73458
1979-06-22,0.80879
1979-06-29,0.88479
1979-07-06,0.96093
1979-07-13,1.03792
1979-07-20,1.11674
1979-07-27,1.19837
1979-08-03,1.28415
1979-08-10,1.37535
1979-08-17,1.47406
1979-08-24,1.58015
1979-08-31,1.69301
1979-09-07,1.81048
1979-09-14,1.93102
1979-09-21,2.05062
1979-09-28,2.16390
1979-10-05,2.26657
1979-10-12,2.35474
1979-10-19,2.42200
1979-10-26,2.46646
