DATE,NFCILEVERAGE
1971-01-08,-1.28325
1971-01-15,-1.30213
1971-01-22,-1.32223
1971-01-29,-1.34342
1971-02-05,-1.36551
1971-02-12,-1.38823
1971-02-19,-1.41126
1971-02-26,-1.43422
1971-03-05,-1.45666
1971-03-12,-1.47809
1971-03-19,-1.49805
1971-03-26,-1.51605
1971-04-02,-1.53167
1971-04-09,-1.54451
1971-04-16,-1.55428
1971-04-23,-1.56082
1971-04-30,-1.56405
1971-05-07,-1.56402
1971-05-14,-1.56091
1971-05-21,-1.55490
1971-05-28,-1.54626
1971-06-04,-1.53528
1971-06-11,-1.52229
1971-06-18,-1.50759
1971-06-25,-1.49159
1971-07-02,-1.47471
1971-07-09,-1.45737
1971-07-16,-1.44006
1971-07-23,-1.42320
1971-07-30,-1.40720
1971-08-06,-1.39240
1971-08-13,-1.37911
1971-08-20,-1.36756
1971-08-27,-1.35797
1971-09-03,-1.35047
1971-09-10,-1.34523
1971-09-17,-1.34236
1971-09-24,-1.34197
1971-10-01,-1.34422
1971-10-08,-1.34917
1971-10-15,-1.35687
1971-10-22,-1.36724
1971-10-29,-1.38003
1971-11-05,-1.39487
1971-11-12,-1.41118
1971-11-19,-1.42821
1971-11-26,-1.44513
1971-12-03,-1.46106
1971-12-10,-1.47500
1971-12-17,-1.48621
1971-12-24,-1.49405
1971-12-31,-1.49807
1972-01-07,-1.49802
1972-01-14,-1.49386
1972-01-21,-1.48557
1972-01-28,-1.47326
1972-02-04,-1.45704
1972-02-11,-1.43703
1972-02-18,-1.41334
1972-02-25,-1.38609
1972-03-03,-1.35537
1972-03-10,-1.32132
1972-03-17,-1.28410
1972-03-24,-1.24389
1972-03-31,-1.20094
1972-04-07,-1.15555
1972-04-14,-1.10804
1972-04-21,-1.05877
1972-04-28,-1.00810
1972-05-05,-0.95637
1972-05-12,-0.90392
1972-05-19,-0.85100
1972-05-26,-0.79782
1972-06-02,-0.74455
1972-06-09,-0.69130
1972-06-16,-0.63814
1972-06-23,-0.58513
1972-06-30,-0.53231
1972-07-07,-0.47967
1972-07-14,-0.42724
1972-07-21,-0.37497
1972-07-28,-0.32282
1972-08-04,-0.27068
1972-08-11,-0.21844
1972-08-18,-0.16595
1972-08-25,-0.11306
1972-09-01,-0.05963
1972-09-08,-0.00548
1972-09-15,0.04948
1972-09-22,0.10539
1972-09-29,0.16239
1972-10-06,0.22060
1972-10-13,0.28017
1972-10-20,0.34123
1972-10-27,0.40398
1972-11-03,0.46855
1972-11-10,0.53517
1972-11-17,0.60396
1972-11-24,0.67506
1972-12-01,0.74854
1972-12-08,0.82441
1972-12-15,0.90253
1972-12-22,0.98272
1972-12-29,1.06463
1973-01-05,1.14777
1973-01-12,1.23152
1973-01-19,1.31517
1973-01-26,1.39793
1973-02-02,1.47899
1973-02-09,1.55761
1973-02-16,1.63300
1973-02-23,1.70466
1973-03-02,1.77227
1973-03-09,1.83564
1973-03-16,1.89483
1973-03-23,1.94996
1973-03-30,2.00121
1973-04-06,2.04872
1973-04-13,2.09265
1973-04-20,2.13299
1973-04-27,2.16969
1973-05-04,2.20265
1973-05-11,2.23170
1973-05-18,2.25674
1973-05-25,2.27779
1973-06-01,2.29500
1973-06-08,2.30862
1973-06-15,2.31913
1973-06-22,2.32698
1973-06-29,2.33270
1973-07-06,2.33676
1973-07-13,2.33960
1973-07-20,2.34151
1973-07-27,2.34271
1973-08-03,2.34333
1973-08-10,2.34342
1973-08-17,2.34305
1973-08-24,2.34234
1973-08-31,2.34150
1973-09-07,2.34078
1973-09-14,2.34062
1973-09-21,2.34135
1973-09-28,2.34331
1973-10-05,2.34671
1973-10-12,2.35166
1973-10-19,2.35810
1973-10-26,2.36583
1973-11-02,2.37450
1973-11-09,2.38370
1973-11-16,2.39295
1973-11-23,2.40187
1973-11-30,2.41020
1973-12-07,2.41784
1973-12-14,2.42489
1973-12-21,2.43162
1973-12-28,2.43849
1974-01-04,2.44601
1974-01-11,2.45486
1974-01-18,2.46552
1974-01-25,2.47840
1974-02-01,2.49377
1974-02-08,2.51175
1974-02-15,2.53218
1974-02-22,2.55485
1974-03-01,2.57939
1974-03-08,2.60534
1974-03-15,2.63211
1974-03-22,2.65910
1974-03-29,2.68567
