DATE,PCECTPI
1971-01-01,21.474
1971-04-01,21.718
1971-07-01,21.932
1971-10-01,22.068
1972-01-01,22.301
1972-04-01,22.429
1972-07-01,22.626
1972-10-01,22.811
1973-01-01,23.086
1973-04-01,23.53
1973-07-01,23.958
1973-10-01,24.448
1974-01-01,25.176
1974-04-01,25.889
1974-07-01,26.587
1974-10-01,27.263
1975-01-01,27.776
1975-04-01,28.117
1975-07-01,28.643
1975-10-01,29.124
1976-01-01,29.444
1976-04-01,29.691
1976-07-01,30.142
1976-10-01,30.618
1977-01-01,31.17
1977-04-01,31.704
1977-07-01,32.181
1977-10-01,32.638
1978-01-01,33.174
1978-04-01,33.855
1978-07-01,34.449
1978-10-01,35.1
1979-01-01,35.762
1979-04-01,36.739
1979-07-01,37.65
1979-10-01,38.562
1980-01-01,39.719
1980-04-01,40.691
1980-07-01,41.643
1980-10-01,42.673
1981-01-01,43.78
1981-04-01,44.515
1981-07-01,45.248
1981-10-01,45.941
1982-01-01,46.525
1982-04-01,46.973
1982-07-01,47.715
1982-10-01,48.241
1983-01-01,48.64
1983-04-01,49.085
1983-07-01,49.73
1983-10-01,50.058
1984-01-01,50.599
1984-04-01,51.089
1984-07-01,51.483
1984-10-01,51.801
1985-01-01,52.412
1985-04-01,52.837
1985-07-01,53.251
1985-10-01,53.623
1986-01-01,54.003
1986-04-01,53.946
1986-07-01,54.23
1986-10-01,54.558
1987-01-01,55.072
1987-04-01,55.603
1987-07-01,56.13
1987-10-01,56.615
1988-01-01,57.062
1988-04-01,57.692
1988-07-01,58.403
1988-10-01,58.993
1989-01-01,59.671
1989-04-01,60.475
1989-07-01,60.832
1989-10-01,61.31
1990-01-01,62.199
1990-04-01,62.764
1990-07-01,63.561
1990-10-01,64.402
1991-01-01,64.74
1991-04-01,65.094
1991-07-01,65.536
1991-10-01,66.012
1992-01-01,66.425
1992-04-01,66.867
1992-07-01,67.294
1992-10-01,67.763
1993-01-01,68.167
1993-04-01,68.624
1993-07-01,68.923
1993-10-01,69.32
1994-01-01,69.568
1994-04-01,69.956
1994-07-01,70.459
1994-10-01,70.789
1995-01-01,71.136
1995-04-01,71.549
1995-07-01,71.842
1995-10-01,72.158
1996-01-01,72.559
1996-04-01,73.044
1996-07-01,73.356
1996-10-01,73.856
1997-01-01,74.182
1997-04-01,74.368
1997-07-01,74.564
1997-10-01,74.798
1998-01-01,74.804
1998-04-01,74.939
1998-07-01,75.17
1998-10-01,75.369
1999-01-01,75.517
1999-04-01,75.947
1999-07-01,76.365
1999-10-01,76.828
2000-01-01,77.452
2000-04-01,77.821
2000-07-01,78.323
2000-10-01,78.766
2001-01-01,79.349
2001-04-01,79.721
2001-07-01,79.761
2001-10-01,79.794
2002-01-01,79.954
2002-04-01,80.547
2002-07-01,80.964
2002-10-01,81.342
2003-01-01,81.964
2003-04-01,82.046
2003-07-01,82.587
2003-10-01,82.993
2004-01-01,83.633
2004-04-01,84.196
2004-07-01,84.61
2004-10-01,85.333
2005-01-01,85.829
2005-04-01,86.371
2005-07-01,87.304
2005-10-01,87.999
2006-01-01,88.456
2006-04-01,89.232
2006-07-01,89.874
2006-10-01,89.726
2007-01-01,90.546
2007-04-01,91.315
2007-07-01,91.831
2007-10-01,92.765
2008-01-01,93.52
2008-04-01,94.43
2008-07-01,95.438
2008-10-01,93.914
2009-01-01,93.28
2009-04-01,93.651
2009-07-01,94.296
2009-10-01,95.024
2010-01-01,95.391
2010-04-01,95.539
2010-07-01,95.723
2010-10-01,96.336
2011-01-01,97.145
2011-04-01,98.1
2011-07-01,98.554
2011-10-01,98.879
2012-01-01,99.534
2012-04-01,99.775
2012-07-01,100.065
2012-10-01,100.626
2013-01-01,100.989
2013-04-01,101.061
2013-07-01,101.471
2013-10-01,101.896
2014-01-01,102.386
2014-04-01,102.899
2014-07-01,103.19
2014-10-01,103.071
2015-01-01,102.643
2015-04-01,103.141
2015-07-01,103.39
2015-10-01,103.288
2016-01-01,103.343
2016-04-01,103.992
2016-07-01,104.382
2016-10-01,104.876
2017-01-01,105.497
2017-04-01,105.758
2017-07-01,106.142
2017-10-01,106.818
2018-01-01,107.588
2018-04-01,108.166
2018-07-01,108.552
2018-10-01,108.961
2019-01-01,109.188
2019-04-01,109.857
2019-07-01,110.144
2019-10-01,110.543
2020-01-01,110.946
2020-04-01,110.445
2020-07-01,111.366
2020-10-01,111.821
2021-01-01,113.059
2021-04-01,114.838
2021-07-01,116.413
2021-10-01,118.173
2022-01-01,120.323
2022-04-01,122.459
2022-07-01,123.76
2022-10-01,124.725
